year,country,People living with HIV (15-49): Male +Female,People living with HIV (15-49): Male,People living with HIV (15-49): Female,Population Aged 15-49:  Male+Female,Population Aged 15-49: Male,Population Aged 15-49: Female,Adult prevalence (15-49): Adults,Adult prevalence (15-49): Male,Adult prevalence (15-49): Female,Total number receiving ART (15-49) 
1993,Equatorial Guinea,535,223,312,210092,103649,106443,0.2546,0.2147,0.2935,0
1994,Equatorial Guinea,712,295,417,215434,106294,109140,0.3304,0.2774,0.3821,0
1995,Equatorial Guinea,951,393,558,221422,109256,112166,0.4296,0.3596,0.4978,0
1996,Equatorial Guinea,1275,526,749,228247,112631,115616,0.5585,0.4666,0.648,0
1997,Equatorial Guinea,1711,705,1006,236055,116491,119564,0.7249,0.6049,0.8418,0
1998,Equatorial Guinea,2293,944,1349,244759,120794,123965,0.9368,0.7812,1.09,0
1999,Equatorial Guinea,3052,1256,1796,254108,125416,128692,1.2,1,1.4,0
2000,Equatorial Guinea,4012,1650,2362,263880,130248,133632,1.52,1.27,1.77,0
2001,Equatorial Guinea,5180,2130,3050,273883,135197,138686,1.89,1.58,2.2,0
2002,Equatorial Guinea,6537,2687,3850,283922,140170,143753,2.3,1.92,2.68,0
2003,Equatorial Guinea,8043,3304,4739,293793,145066,148726,2.74,2.28,3.19,3
2004,Equatorial Guinea,9640,3957,5683,303351,149818,153533,3.18,2.64,3.7,53
2005,Equatorial Guinea,11274,4623,6651,312560,154407,158152,3.61,2.99,4.21,228
2006,Equatorial Guinea,12899,5284,7615,321358,158805,162553,4.01,3.33,4.68,293
2007,Equatorial Guinea,14472,5920,8552,329688,162985,166704,4.39,3.63,5.13,446
2008,Equatorial Guinea,15965,6521,9444,337517,166933,170584,4.73,3.91,5.54,847
2009,Equatorial Guinea,17361,7081,10280,344829,170645,174184,5.03,4.15,5.9,1210
,,,,,,,,,,,
,,,,,,,,,,,
1985,Eritrea,541,249,292,1349946,672612,677334,0.0401,0.0371,0.0431,0
1986,Eritrea,823,372,452,1385912,690146,695766,0.0594,0.0539,0.0649,0
1987,Eritrea,1260,559,701,1421058,707327,713731,0.0887,0.079,0.0982,0
1988,Eritrea,1930,844,1086,1450291,721480,728811,0.1331,0.1169,0.149,0
1989,Eritrea,2929,1265,1665,1469173,730237,738936,0.1994,0.1732,0.2253,0
1990,Eritrea,4366,1866,2500,1477857,733693,744164,0.2954,0.2543,0.336,0
1991,Eritrea,6284,2662,3621,1476656,732031,744625,0.4255,0.3637,0.4863,0
1992,Eritrea,8583,3608,4976,1465790,725363,740427,0.5856,0.4973,0.672,0
1993,Eritrea,11030,4606,6424,1456918,719741,737178,0.7571,0.64,0.8714,0
1994,Eritrea,13399,5565,7834,1461938,721316,740622,0.9165,0.7715,1.06,0
1995,Eritrea,15510,6409,9102,1480999,730143,750856,1.05,0.8777,1.21,0
1996,Eritrea,17309,7117,10192,1514166,746240,767926,1.14,0.9537,1.33,0
1997,Eritrea,18799,7693,11107,1561474,769613,791861,1.2,0.9995,1.4,0
1998,Eritrea,20005,8145,11860,1621264,799213,822050,1.23,1.02,1.44,0
1999,Eritrea,20946,8480,12466,1691532,833841,857691,1.24,1.02,1.45,0
2000,Eritrea,21639,8706,12933,1771907,873322,898585,1.22,0.9969,1.44,0
2001,Eritrea,22115,8837,13278,1862355,917625,944730,1.19,0.9631,1.41,0
2002,Eritrea,22400,8886,13514,1962742,966665,996078,1.14,0.9193,1.36,0
2003,Eritrea,22445,8839,13606,2065707,1016956,1048751,1.09,0.8692,1.3,0
2004,Eritrea,22219,8689,13530,2163765,1064970,1098794,1.03,0.8159,1.23,0
2005,Eritrea,21785,8464,13322,2255897,1110235,1145662,0.9657,0.7623,1.16,625
2006,Eritrea,21274,8213,13062,2341802,1152550,1189252,0.9085,0.7126,1.1,1766
2007,Eritrea,20732,7960,12772,2420993,1191677,1229316,0.8563,0.668,1.04,2928
2008,Eritrea,20205,7724,12482,2496158,1228852,1267306,0.8095,0.6285,0.9849,3872
2009,Eritrea,19716,7509,12207,2570771,1265714,1305057,0.7669,0.5933,0.9354,4631
,,,,,,,,,,,
,,,,,,,,,,,
1985,Ethiopia,13659,6236,7423,18717738,9286943,9430795,0.073,0.0672,0.0787,0
1986,Ethiopia,22095,9898,12197,19305696,9578296,9727400,0.1144,0.1033,0.1254,0
1987,Ethiopia,35593,15683,19910,19914668,9880317,10034351,0.1787,0.1587,0.1984,0
1988,Ethiopia,56803,24699,32104,20541556,10191370,10350186,0.2765,0.2424,0.3102,0
1989,Ethiopia,89379,38431,50948,21182974,10509680,10673295,0.4219,0.3657,0.4773,0
1990,Ethiopia,137400,58589,78811,21840816,10836179,11004637,0.6291,0.5407,0.7162,0
1991,Ethiopia,204095,86451,117644,22512252,11169487,11342765,0.9066,0.774,1.04,0
1992,Ethiopia,288752,121612,167140,23200524,11511246,11689278,1.24,1.06,1.43,0
1993,Ethiopia,384042,161074,222968,23896140,11856686,12039455,1.61,1.36,1.85,0
1994,Ethiopia,477349,199481,277867,24594570,12203444,12391127,1.94,1.63,2.24,0
1995,Ethiopia,556774,231794,324979,25299490,12553358,12746133,2.2,1.85,2.55,0
1996,Ethiopia,614694,254805,359889,26014938,12908445,13106493,2.36,1.97,2.75,0
1997,Ethiopia,651825,268859,382966,26740972,13268874,13472098,2.44,2.03,2.84,0
1998,Ethiopia,670928,275190,395738,27490320,13641377,13848943,2.44,2.02,2.86,0
1999,Ethiopia,675480,275344,400136,28277774,14033854,14243920,2.39,1.96,2.81,0
2000,Ethiopia,668455,270655,397800,29108626,14449362,14659264,2.3,1.87,2.71,0
2001,Ethiopia,652376,262259,390117,29988332,14890741,15097592,2.18,1.76,2.58,0
2002,Ethiopia,629264,251073,378191,30919526,15359287,15560240,2.04,1.63,2.43,500
2003,Ethiopia,602028,238379,363650,31904672,15855941,16048732,1.89,1.5,2.27,4000
2004,Ethiopia,571395,224519,346875,32937894,16377209,16560684,1.73,1.37,2.09,10000
2005,Ethiopia,539008,210208,328800,34016452,16921250,17095204,1.58,1.24,1.92,20946
2006,Ethiopia,506854,196262,310592,35148216,17491576,17656642,1.44,1.12,1.76,51158
2007,Ethiopia,476851,183459,293392,36336472,18089568,18246906,1.31,1.01,1.61,85671
2008,Ethiopia,450208,172290,277918,37583568,18716110,18867456,1.2,0.9205,1.47,124980
2009,Ethiopia,427457,162920,264538,38878200,19365518,19512680,1.1,0.8413,1.36,166640
,,,,,,,,,,,
,,,,,,,,,,,
1985,Gabon,546,251,295,352758,175509,177249,0.1547,0.1431,0.1663,0
1986,Gabon,804,363,442,364024,181317,182707,0.221,0.2002,0.2417,0
1987,Gabon,1183,525,658,376152,187512,188640,0.3144,0.2799,0.3488,0
1988,Gabon,1729,757,972,389215,194106,195109,0.4443,0.39,0.4982,0
1989,Gabon,2508,1086,1422,402968,200965,202002,0.6223,0.5402,0.704,0
1990,Gabon,3596,1543,2052,417391,208085,209306,0.8614,0.7416,0.9806,0
1991,Gabon,5074,2162,2912,432443,215463,216980,1.17,1,1.34,0
1992,Gabon,7017,2972,4045,448090,223110,224980,1.57,1.33,1.8,0
1993,Gabon,9458,3987,5470,464207,230990,233218,2.04,1.73,2.35,0
1994,Gabon,12362,5194,7168,480674,239054,241620,2.57,2.17,2.97,0
1995,Gabon,15610,6540,9070,497493,247312,250180,3.14,2.64,3.63,0
1996,Gabon,19009,7943,11066,514718,255794,258924,3.69,3.11,4.27,0
1997,Gabon,22334,9307,13027,532309,264477,267832,4.2,3.52,4.86,0
1998,Gabon,25389,10551,14837,550155,273321,276833,4.61,3.86,5.36,0
1999,Gabon,28046,11623,16423,568110,282296,285814,4.94,4.12,5.75,0
2000,Gabon,30265,12508,17757,586074,291379,294694,5.16,4.29,6.03,0
2001,Gabon,32069,13218,18851,603976,300560,303416,5.31,4.4,6.21,100
2002,Gabon,33527,13788,19739,621950,309921,312029,5.39,4.45,6.33,400
2003,Gabon,34707,14244,20463,639943,319376,320567,5.42,4.46,6.38,617
2004,Gabon,35710,14629,21081,658349,329037,329312,5.42,4.45,6.4,2000
2005,Gabon,36560,14957,21603,677465,339026,338439,5.4,4.41,6.38,4503
2006,Gabon,37261,15228,22033,697107,349254,347853,5.35,4.36,6.33,5230
2007,Gabon,37977,15504,22473,717291,359724,357567,5.29,4.31,6.28,6300
2008,Gabon,38711,15786,22925,737704,370258,367446,5.25,4.26,6.24,7556
2009,Gabon,39433,16065,23368,757969,380663,377305,5.2,4.22,6.19,9701
,,,,,,,,,,,
,,,,,,,,,,,
1985,Gambia,164,77,87,337576,165653,171924,0.0485,0.0464,0.0504,0
1986,Gambia,200,92,108,350976,172343,178633,0.0569,0.0531,0.0606,0
1987,Gambia,244,109,135,365420,179556,185864,0.0667,0.0609,0.0724,0
1988,Gambia,298,131,167,380601,187136,193465,0.0784,0.0701,0.0864,0
1989,Gambia,364,158,207,396123,194889,201234,0.092,0.0808,0.1028,0
1990,Gambia,445,190,255,412036,202842,209194,0.108,0.0935,0.122,0
1991,Gambia,543,229,314,428363,211007,217356,0.1267,0.1085,0.1445,0
1992,Gambia,662,276,385,445126,219395,225731,0.1487,0.126,0.1707,0
1993,Gambia,806,334,472,462353,228021,234331,0.1744,0.1467,0.2013,0
1994,Gambia,981,405,576,480019,236877,243143,0.2043,0.1709,0.2369,0
1995,Gambia,1193,491,702,498107,245953,252154,0.2395,0.1995,0.2785,0
1996,Gambia,1449,594,854,516668,255280,261389,0.2804,0.2329,0.3268,0
1997,Gambia,1758,720,1038,535684,264845,270839,0.3281,0.2719,0.3831,0
1998,Gambia,2130,872,1258,555067,274603,280464,0.3838,0.3175,0.4486,0
1999,Gambia,2578,1055,1523,574670,284479,290191,0.4485,0.3707,0.5248,0
2000,Gambia,3115,1274,1840,594570,294507,300063,0.5238,0.4327,0.6133,0
2001,Gambia,3759,1538,2220,614960,304784,310176,0.6112,0.5048,0.7158,0
2002,Gambia,4530,1855,2675,635885,315332,320553,0.7124,0.5883,0.8346,0
2003,Gambia,5452,2234,3218,657144,326055,331089,0.8297,0.6851,0.972,0
2004,Gambia,6548,2685,3863,678543,336859,341684,0.965,0.7969,1.13,0
2005,Gambia,7849,3221,4628,700039,347722,352318,1.12,0.9263,1.31,244
2006,Gambia,9389,3857,5532,721644,358652,362993,1.3,1.08,1.52,281
2007,Gambia,11198,4605,6593,743318,369629,373689,1.51,1.25,1.76,402
2008,Gambia,13321,5483,7838,765370,380806,384564,1.74,1.44,2.04,655
2009,Gambia,15804,6511,9293,787970,392269,395701,2.01,1.66,2.35,811
,,,,,,,,,,,
,,,,,,,,,,,
1985,Ghana,2574,1206,1368,5849730,2956923,2892807,0.044,0.0408,0.0473,0
1986,Ghana,3902,1792,2109,6048911,3057495,2991416,0.0645,0.0586,0.0705,0
1987,Ghana,5910,2668,3242,6250861,3159508,3091353,0.0945,0.0844,0.1049,0
1988,Ghana,8964,3990,4974,6457603,3264020,3193583,0.1388,0.1223,0.1557,0
1989,Ghana,13624,5993,7631,6671598,3372241,3299356,0.2042,0.1777,0.2313,0
1990,Ghana,20741,9043,11699,6893210,3484336,3408873,0.3009,0.2595,0.3432,0
1991,Ghana,31658,13705,17953,7122424,3600282,3522143,0.4445,0.3807,0.5097,0
1992,Ghana,48141,20721,27420,7360006,3720483,3639522,0.6541,0.5569,0.7534,0
1993,Ghana,71774,30784,40991,7603717,3843831,3759886,0.9439,0.8009,1.09,0
1994,Ghana,102204,43731,58473,7850514,3968768,3881746,1.3,1.1,1.51,0
1995,Ghana,135396,57810,77585,8099988,4095065,4004923,1.67,1.41,1.94,0
1996,Ghana,165351,70423,94928,8352401,4222880,4129521,1.98,1.67,2.3,0
1997,Ghana,188151,79872,108279,8607550,4352207,4255344,2.19,1.84,2.54,0
1998,Ghana,203449,86013,117435,8866621,4483741,4382880,2.29,1.92,2.68,0
1999,Ghana,212744,89511,123233,9131448,4618504,4512944,2.33,1.94,2.73,0
2000,Ghana,217718,91113,126605,9402505,4756811,4645694,2.32,1.92,2.73,0
2001,Ghana,219822,91473,128349,9683197,4900431,4782766,2.27,1.87,2.68,0
2002,Ghana,220049,91040,129009,9973180,5049156,4924024,2.21,1.8,2.62,0
2003,Ghana,219099,90136,128963,10269414,5201386,5068029,2.13,1.73,2.54,197
2004,Ghana,217520,89015,128505,10567691,5354862,5212830,2.06,1.66,2.47,1923
2005,Ghana,215878,87929,127950,10865837,5508378,5357460,1.99,1.6,2.39,3663
2006,Ghana,214539,87039,127500,11163796,5661952,5501845,1.92,1.54,2.32,6736
2007,Ghana,213813,86481,127332,11461020,5815290,5645731,1.87,1.49,2.26,11777
2008,Ghana,214090,86415,127675,11759119,5969110,5790009,1.82,1.45,2.21,20602
2009,Ghana,215643,86955,128688,12059908,6124322,5935586,1.79,1.42,2.17,28648
,,,,,,,,,,,
,,,,,,,,,,,
1985,Guinea,5566,2584,2982,2420407,1218139,1202268,0.23,0.2122,0.248,0
1986,Guinea,8364,3814,4550,2493363,1256260,1237103,0.3355,0.3036,0.3678,0
1987,Guinea,12307,5527,6780,2570869,1296691,1274178,0.4787,0.4263,0.5321,0
1988,Guinea,17557,7790,9767,2654896,1340422,1314474,0.6613,0.5812,0.743,0
1989,Guinea,24072,10573,13500,2746841,1388148,1358693,0.8764,0.7617,0.9936,0
1990,Guinea,31515,13733,17782,2846584,1439805,1406778,1.11,0.9538,1.26,0
1991,Guinea,39293,17007,22286,2954050,1495340,1458710,1.33,1.14,1.53,0
1992,Guinea,46736,20102,26634,3069690,1554996,1514694,1.52,1.29,1.76,0
1993,Guinea,53223,22767,30457,3186385,1615159,1571226,1.67,1.41,1.94,0
1994,Guinea,58324,24816,33507,3297075,1672262,1624813,1.77,1.48,2.06,0
1995,Guinea,61977,26230,35747,3402265,1726554,1675712,1.82,1.52,2.13,0
1996,Guinea,64334,27078,37255,3502210,1778159,1724051,1.84,1.52,2.16,0
1997,Guinea,65614,27464,38150,3596338,1826770,1769569,1.82,1.5,2.16,0
1998,Guinea,66103,27516,38587,3687266,1873675,1813591,1.79,1.47,2.13,0
1999,Guinea,66078,27358,38720,3777754,1920251,1857503,1.75,1.42,2.08,0
2000,Guinea,65720,27073,38647,3867271,1966202,1901069,1.7,1.38,2.03,0
2001,Guinea,65190,26734,38457,3956609,2011914,1944695,1.65,1.33,1.98,0
2002,Guinea,64588,26384,38204,4045691,2057359,1988332,1.6,1.28,1.92,0
2003,Guinea,64020,26071,37949,4137289,2103990,2033300,1.55,1.24,1.87,0
2004,Guinea,63571,25828,37743,4234615,2153496,2081119,1.5,1.2,1.81,0
2005,Guinea,63277,25670,37608,4337921,2206020,2131901,1.46,1.16,1.76,1774
2006,Guinea,63172,25606,37565,4447740,2261822,2185918,1.42,1.13,1.72,4550
2007,Guinea,63326,25663,37663,4564562,2321126,2243435,1.39,1.11,1.68,8560
2008,Guinea,63689,25816,37873,4688480,2383985,2304495,1.36,1.08,1.64,9212
2009,Guinea,64215,26033,38182,4820755,2450991,2369764,1.33,1.06,1.61,14325
,,,,,,,,,,,
,,,,,,,,,,,
1985,Guinea-Bissau,285,132,153,412069,204022,208047,0.0691,0.0647,0.0733,0
1986,Guinea-Bissau,384,174,210,422900,209379,213521,0.0908,0.0832,0.0983,0
1987,Guinea-Bissau,520,231,289,436092,215916,220176,0.1192,0.107,0.1311,0
1988,Guinea-Bissau,705,309,397,451939,223778,228161,0.1561,0.1379,0.174,0
1989,Guinea-Bissau,955,412,543,468525,232010,236515,0.2039,0.1776,0.2297,0
1990,Guinea-Bissau,1286,549,737,485201,240283,244918,0.265,0.2283,0.3011,0
1991,Guinea-Bissau,1717,726,991,501726,248477,253249,0.3422,0.2922,0.3913,0
1992,Guinea-Bissau,2270,953,1317,517819,256451,261368,0.4383,0.3716,0.5038,0
1993,Guinea-Bissau,2962,1237,1725,532989,263959,269029,0.5557,0.4688,0.641,0
1994,Guinea-Bissau,3808,1585,2223,547325,271051,276274,0.6957,0.5847,0.8046,0
1995,Guinea-Bissau,4815,1998,2817,561199,277916,283284,0.858,0.7191,0.9943,0
1996,Guinea-Bissau,5976,2474,3501,574613,284552,290062,1.04,0.8696,1.21,0
1997,Guinea-Bissau,7264,3002,4262,587423,290888,296535,1.24,1.03,1.44,0
1998,Guinea-Bissau,8635,3561,5074,599542,296887,302655,1.44,1.2,1.68,0
1999,Guinea-Bissau,10032,4129,5903,611180,302663,308517,1.64,1.36,1.91,0
2000,Guinea-Bissau,11393,4679,6714,622369,308246,314124,1.83,1.52,2.14,0
2001,Guinea-Bissau,12663,5188,7475,633251,313715,319536,2,1.65,2.34,0
2002,Guinea-Bissau,13801,5638,8163,644074,319193,324881,2.14,1.77,2.51,0
2003,Guinea-Bissau,14786,6023,8763,655147,324814,330332,2.26,1.85,2.65,0
2004,Guinea-Bissau,15617,6342,9275,666666,330653,336013,2.34,1.92,2.76,0
2005,Guinea-Bissau,16310,6604,9706,679091,336927,342164,2.4,1.96,2.84,0
2006,Guinea-Bissau,16895,6820,10075,692949,343896,349053,2.44,1.98,2.89,0
2007,Guinea-Bissau,17412,7010,10402,708399,351640,356758,2.46,1.99,2.92,904
2008,Guinea-Bissau,17843,7168,10674,725350,360127,365222,2.46,1.99,2.92,1737
2009,Guinea-Bissau,18275,7329,10946,743488,369212,374276,2.46,1.98,2.92,2646
,,,,,,,,,,,
,,,,,,,,,,,
1985,Kenya,28295,12791,15504,7622198,3767382,3854815,0.3712,0.3395,0.4022,0
1986,Kenya,50490,22429,28062,7948978,3929358,4019620,0.6352,0.5708,0.6981,0
1987,Kenya,88131,38565,49566,8293584,4100466,4193119,1.06,0.9405,1.18,0
1988,Kenya,148770,64350,84420,8661004,4283128,4377877,1.72,1.5,1.93,0
1989,Kenya,240668,103114,137554,9054564,4478918,4575647,2.66,2.3,3.01,0
1990,Kenya,369422,157234,212188,9472777,4687084,4785694,3.9,3.35,4.43,0
1991,Kenya,534190,226235,307955,9915222,4907444,5007778,5.39,4.61,6.15,0
1992,Kenya,723198,305029,418169,10380182,5139222,5240960,6.97,5.94,7.98,0
1993,Kenya,914333,384554,529778,10856905,5377186,5479720,8.42,7.15,9.67,0
1994,Kenya,1082643,454139,628504,11333581,5615636,5717946,9.55,8.09,10.99,0
1995,Kenya,1210835,506326,704509,11805113,5852176,5952937,10.26,8.65,11.83,0
1996,Kenya,1293532,538782,754750,12273061,6087701,6185360,10.54,8.85,12.2,0
1997,Kenya,1333790,552861,780929,12736802,6321931,6414871,10.47,8.75,12.17,0
1998,Kenya,1339039,551863,787176,13200080,6556881,6643200,10.14,8.42,11.85,0
1999,Kenya,1317120,539292,777827,13665735,6794080,6871656,9.64,7.94,11.32,0
2000,Kenya,1275516,518499,757017,14132179,7032726,7099453,9.03,7.37,10.66,0
2001,Kenya,1232254,497372,734882,14604355,7275303,7329052,8.44,6.84,10.03,0
2002,Kenya,1195545,479537,716008,15082924,7522066,7560858,7.93,6.38,9.47,0
2003,Kenya,1164818,464788,700030,15565240,7771282,7793958,7.48,5.98,8.98,0
2004,Kenya,1140297,453207,687089,16045955,8019561,8026395,7.11,5.65,8.56,24461
2005,Kenya,1123958,445586,678372,16525425,8266615,8258810,6.8,5.39,8.21,54093
2006,Kenya,1117010,442353,674657,17007622,8514043,8493578,6.57,5.2,7.94,120389
2007,Kenya,1120609,443936,676673,17488576,8759724,8728852,6.41,5.07,7.75,168234
2008,Kenya,1132964,449517,683447,17973188,9006735,8966453,6.3,4.99,7.62,230059
2009,Kenya,1154072,458970,695102,18476558,9262820,9213738,6.25,4.95,7.54,308610
,,,,,,,,,,,
,,,,,,,,,,,
1985,Lesotho,151,57,94,629232,267594,361638,0.0241,0.0214,0.026,0
1986,Lesotho,314,117,198,640201,271607,368594,0.0491,0.043,0.0536,0
1987,Lesotho,654,239,415,649865,275342,374523,0.1006,0.0867,0.1108,0
1988,Lesotho,1355,488,867,659188,279258,379930,0.2056,0.1749,0.2282,0
1989,Lesotho,2802,999,1803,669085,283673,385412,0.4188,0.3521,0.4678,0
1990,Lesotho,5755,2038,3716,679653,288648,391006,0.8467,0.7061,0.9504,0
1991,Lesotho,11643,4109,7534,690987,294250,396737,1.68,1.4,1.9,0
1992,Lesotho,22830,8045,14785,703259,300569,402691,3.25,2.68,3.67,0
1993,Lesotho,42294,14938,27356,717459,307914,409545,5.89,4.85,6.68,0
1994,Lesotho,71625,25402,46224,734211,316445,417766,9.76,8.03,11.06,0
1995,Lesotho,107805,38414,69391,752931,325913,427018,14.32,11.79,16.25,160
1996,Lesotho,143357,51279,92078,773251,336218,437033,18.54,15.25,21.07,305
1997,Lesotho,171755,61538,110217,794916,347332,447584,21.61,17.72,24.62,200
1998,Lesotho,191126,68438,122688,816733,358783,457950,23.4,19.08,26.79,250
1999,Lesotho,203037,72566,130471,837636,370128,467509,24.24,19.61,27.91,500
2000,Lesotho,210002,74890,135111,857235,381175,476061,24.5,19.65,28.38,0
2001,Lesotho,214123,76240,137884,875686,391962,483724,24.45,19.45,28.5,0
2002,Lesotho,216698,77132,139566,892814,402361,490453,24.27,19.17,28.46,0
2003,Lesotho,218490,77870,140620,908595,412336,496260,24.05,18.89,28.34,0
2004,Lesotho,219987,78640,141347,923280,421994,501286,23.83,18.64,28.2,422
2005,Lesotho,221635,79587,142048,937414,431512,505902,23.64,18.44,28.08,4414
2006,Lesotho,223981,80892,143090,952069,441291,510778,23.53,18.33,28.01,13393
2007,Lesotho,227571,82715,144856,968487,451771,516716,23.5,18.31,28.03,31271
2008,Lesotho,232165,85003,147162,985850,462638,523212,23.55,18.37,28.13,42224
2009,Lesotho,236989,87456,149533,1003327,473560,529767,23.62,18.47,28.23,52284
,,,,,,,,,,,
,,,,,,,,,,,
1985,Liberia,51,23,28,935300,469099,466200,0.0055,0.005,0.006,0
1986,Liberia,111,50,61,941627,472361,469265,0.0118,0.0105,0.013,0
1987,Liberia,241,107,134,941793,472525,469268,0.0256,0.0226,0.0286,0
1988,Liberia,525,230,295,939497,471440,468057,0.0559,0.0487,0.0631,0
1989,Liberia,1140,494,646,938543,471009,467534,0.1215,0.1049,0.1381,0
1990,Liberia,2440,1051,1389,938962,471246,467716,0.2599,0.2231,0.2969,0
1991,Liberia,5034,2158,2876,940742,472151,468591,0.5351,0.4571,0.6137,0
1992,Liberia,9641,4115,5526,943888,473722,470166,1.02,0.8687,1.18,0
1993,Liberia,16450,7006,9444,955686,479618,476068,1.72,1.46,1.98,0
1994,Liberia,24417,10383,14034,983555,493587,489969,2.48,2.1,2.86,0
1995,Liberia,31772,13483,18289,1027852,515814,512037,3.09,2.61,3.57,0
1996,Liberia,37493,15863,21630,1089132,546578,542554,3.44,2.9,3.99,0
1997,Liberia,41657,17554,24103,1167687,586041,581646,3.57,3,4.14,0
1998,Liberia,44275,18562,25713,1249740,627297,622443,3.54,2.96,4.13,0
1999,Liberia,45258,18856,26402,1321120,663244,657876,3.43,2.84,4.01,0
2000,Liberia,44944,18592,26352,1381396,693676,687720,3.25,2.68,3.83,0
2001,Liberia,43661,17919,25742,1430550,718586,711964,3.05,2.49,3.62,0
2002,Liberia,41657,16953,24704,1468025,737716,730309,2.84,2.3,3.38,0
2003,Liberia,39377,15886,23491,1503150,755723,747428,2.62,2.1,3.14,0
2004,Liberia,37167,14864,22303,1545873,777551,768323,2.4,1.91,2.9,0
2005,Liberia,35070,13905,21165,1596849,803426,793423,2.2,1.73,2.67,0
2006,Liberia,33100,13016,20084,1656519,833642,822877,2,1.56,2.44,837
2007,Liberia,31291,12212,19079,1725492,868554,856938,1.81,1.41,2.23,1322
2008,Liberia,29532,11449,18083,1799111,905848,893263,1.64,1.26,2.02,1829
2009,Liberia,27767,10704,17063,1872497,943032,929466,1.48,1.14,1.84,2704
,,,,,,,,,,,
,,,,,,,,,,,
1985,Madagascar,9847,7099,2749,4333793,2159892,2173901,0.2272,0.3287,0.1264,0
1986,Madagascar,9741,6975,2766,4474484,2229965,2244520,0.2177,0.3128,0.1233,0
1987,Madagascar,9682,6883,2799,4622089,2303589,2318499,0.2095,0.2988,0.1207,0
1988,Madagascar,9680,6836,2844,4777004,2381002,2396002,0.2026,0.2871,0.1187,0
1989,Madagascar,9750,6845,2905,4938870,2462061,2476808,0.1974,0.278,0.1173,0
1990,Madagascar,9897,6907,2991,5107367,2546618,2560749,0.1938,0.2712,0.1168,0
1991,Madagascar,10120,7025,3094,5282516,2634676,2647840,0.1916,0.2666,0.1169,0
1992,Madagascar,10428,7208,3221,5464360,2726206,2738154,0.1908,0.2644,0.1176,0
1993,Madagascar,10811,7443,3368,5653180,2821260,2831920,0.1912,0.2638,0.1189,0
1994,Madagascar,11268,7733,3535,5846661,2918563,2928098,0.1927,0.265,0.1207,0
1995,Madagascar,11784,8067,3717,6041895,3016578,3025317,0.195,0.2674,0.1229,0
1996,Madagascar,12344,8435,3909,6239271,3115475,3123797,0.1978,0.2707,0.1251,0
1997,Madagascar,12937,8828,4110,6437742,3214744,3222997,0.201,0.2746,0.1275,0
1998,Madagascar,13535,9226,4310,6635242,3313342,3321900,0.204,0.2784,0.1297,0
1999,Madagascar,14135,9626,4509,6834874,3412844,3422030,0.2068,0.2821,0.1318,0
2000,Madagascar,14724,10020,4704,7041162,3515509,3525653,0.2091,0.285,0.1334,0
2001,Madagascar,15310,10412,4898,7255587,3622056,3633531,0.211,0.2875,0.1348,0
2002,Madagascar,15900,10807,5093,7479172,3732990,3746182,0.2126,0.2895,0.136,0
2003,Madagascar,16483,11196,5287,7713804,3849252,3864552,0.2137,0.2909,0.1368,0
2004,Madagascar,17086,11600,5487,7959454,3970869,3988585,0.2147,0.2921,0.1376,0
2005,Madagascar,17701,12011,5691,8215661,4097672,4117989,0.2155,0.2931,0.1382,0
2006,Madagascar,18345,12442,5903,8483379,4230215,4253165,0.2162,0.2941,0.1388,0
2007,Madagascar,19017,12892,6125,8762510,4368449,4394062,0.217,0.2951,0.1394,0
2008,Madagascar,19731,13371,6360,9054122,4512922,4541201,0.2179,0.2963,0.14,117
2009,Madagascar,20476,13871,6605,9357391,4663210,4694181,0.2188,0.2974,0.1407,206
,,,,,,,,,,,
,,,,,,,,,,,
1985,Malawi,46261,20535,25726,3233320,1559183,1674137,1.43,1.32,1.54,0
1986,Malawi,71105,31007,40098,3409246,1648797,1760450,2.09,1.88,2.28,0
1987,Malawi,107206,46069,61138,3603576,1747345,1856231,2.98,2.64,3.29,0
1988,Malawi,156420,66487,89933,3785159,1839795,1945364,4.13,3.61,4.62,0
1989,Malawi,218032,91917,126115,3929595,1914560,2015035,5.55,4.8,6.26,0
1990,Malawi,289156,121228,167928,4043478,1974747,2068731,7.15,6.14,8.12,0
1991,Malawi,365106,152414,212692,4133158,2023218,2109941,8.83,7.53,10.08,0
1992,Malawi,439970,182909,257061,4203831,2062216,2141614,10.47,8.87,12,0
1993,Malawi,508632,210805,297828,4267918,2097754,2170164,11.92,10.05,13.72,0
1994,Malawi,567837,234869,332968,4337342,2135833,2201509,13.09,11,15.12,0
1995,Malawi,615709,254254,361455,4416109,2178557,2237552,13.94,11.67,16.15,0
1996,Malawi,652237,268885,383352,4508280,2227961,2280318,14.47,12.07,16.81,0
1997,Malawi,678858,279303,399555,4617459,2285782,2331677,14.7,12.22,17.14,0
1998,Malawi,696481,285860,410621,4737487,2348956,2388531,14.7,12.17,17.19,0
1999,Malawi,705946,288937,417008,4860803,2413815,2446988,14.52,11.97,17.04,0
2000,Malawi,709865,289692,420173,4992902,2483206,2509695,14.22,11.67,16.74,0
2001,Malawi,710619,289185,421434,5137837,2559226,2578612,13.83,11.3,16.34,0
2002,Malawi,709896,288175,421721,5297133,2642684,2654449,13.4,10.9,15.89,0
2003,Malawi,708509,287061,421448,5467632,2732171,2735461,12.96,10.51,15.41,0
